key,value,reference value,description
avalara_doc_status_invalid,Operasjonen mislyktes. Ugyldig dokumentstatus i Avalara,Operation failed. Invalid document status in Avalara.,Operation failed. Invalid document status in Avalara.
ava_auth_error,Avalara-legitimasjonene som er gitt er ugyldige,Avalara credentials provided are invalid.,Avalara credentials provided are invalid.
origin_address_error,Organisasjonsadressen er enten ugyldig eller ufullstendig. Vennligst bekreft og prøv igjen,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
taxjar_product_code_not_found,TaxJar produktkode er ikke konfigurert for varen {0},TaxJar Product code is not configured for the item {0}.,TaxJar Product code is not configured for the item {0}.
taxjar_internal_server_error,"Beklager, Taxjar opplever tekniske problemer for øyeblikket. Vennligst prøv igjen senere","Sorry, Taxjar is facing technical issues at the moment. Please try after some time.","Sorry, Taxjar is facing technical issues at the moment. Please try after some time."
shipping_address_invalid,"Beklager, leveringsadressen er enten ugyldig eller ufullstendig. Vennligst bekreft og prøv igjen","Sorry, shipping address is either invalid or incomplete. Please verify and try again.","Sorry, shipping address is either invalid or incomplete. Please verify and try again."
avalara_doc_cancel_locked,Operasjon mislyktes. Det er ikke tillatt å endre et kansellert dokument,Operation failed. Modifying a cancelled document is not allowed.,Operation failed. Modifying a cancelled document is not allowed.
cred_delete_invalid_state,{0} legitimasjon kan ikke fjernes da de allerede er i bruk. Vennligst fjern {0} skattekfigurasjon før du fjerner {0} legitimasjon,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.
destination_address_error,Kan ikke beregne skattesatsen da leverings-/fakturaadressen enten er ugyldig eller ufullstendig. Vennligst bekreft og prøv igjen,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.
billing_address_invalid,Fakturaadressen er enten ugyldig eller ufullstendig. Vennligst bekreft og prøv igjen,The Billing address is either invalid or incomplete. Please verify and try again.,The Billing address is either invalid or incomplete. Please verify and try again.
avalara_internal_server_error,"Beklager, Avalara opplever tekniske problemer for øyeblikket. Vennligst prøv igjen senere","Sorry, Avalara is facing technical issues at the moment. Please try after some time.","Sorry, Avalara is facing technical issues at the moment. Please try after some time."
delete_shipping_address_not_allowed,Vennligst oppgi en gyldig fakturaadresse før du sletter leveringsadressen,Please provide a valid billing address before deleting the shipping address.,Please provide a valid billing address before deleting the shipping address.
avalara_doc_in_invalid_state,Dette dokumentet kan ikke annulleres/slettes da det ikke har blitt postet til Avalara. Vennligst prøv igjen etter en stund,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.
hp_avalara_integ_failure,"Beklager, noe gikk galt mens forespørselen ble behandlet. Vennligst prøv igjen etter en stund","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
both_exemption_reasons_passed,"Du kan enten velge Avalara Entity Code eller Exempt Number, ikke begge","You can either choose the Avalara Entity Code or Exempt Number, not both.","You can either choose the Avalara Entity Code or Exempt Number, not both."
taxjar_communication_failure,"Beklager, vi klarer ikke å kommunisere med TaxJar akkurat nå. Vennligst prøv igjen etter en stund","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time."
taxjar_origin_address_error,Organisasjonsadressen er enten ugyldig eller ufullstendig. Vennligst bekreft og prøv igjen,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
address_validation_failed,"Beklager, leveringsadressen har ikke bestått {0} adressekontroll. Vennligst verifiser og prøv igjen","Sorry, shipping address has failed {0} address check. Please verify and try again.","Sorry, shipping address has failed {0} address check. Please verify and try again."
avalara_doc_modify_locked,Operasjonen mislyktes. Det er ikke tillatt å endre et låst dokument,Operation failed. Modifying a locked document is not allowed.,Operation failed. Modifying a locked document is not allowed.
avalara_postal_code_invalid,Postnummeret er ugyldig. Vennligst bekreft og prøv igjen,Address postal code is invalid. Please verify and try again.,Address postal code is invalid. Please verify and try again.
taxjar_auth_error,TaxJar-legitimasjonene som er gitt er ugyldige,TaxJar credentials provided are invalid.,TaxJar credentials provided are invalid.
multi_step_layout_disabled,"Beklager, dette temaet støtter ikke {0}. Vennligst velg et annet tema","Sorry, this theme does not support {0}. Please choose a different theme.","Sorry, this theme does not support {0}. Please choose a different theme."
company_code_error,Firmakoden som er konfigurert for din Avalara AvaTax-konto er enten inaktiv eller ikke til stede,The Company Code configured for your Avalara AvaTax account is either inactive or not present.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.
avalara_communication_failure,"Beklager, vi kan ikke kommunisere med Avalara akkurat nå. Vennligst prøv igjen etter en stund","Sorry, we’re unable to communicate with Avalara right now. Please try after some time.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time."
hp_taxjar_integ_failure,"Beklager, noe gikk galt mens forespørselen ble behandlet. Vennligst prøv igjen etter en stund","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
