key,value,reference value,description
sub_next_estimate_summary.final_estimate.description,Totalt,Total,
account_hierarchy.forwarded.note,Du mottar denne e-posten fordi du betaler for denne kundens abonnementer og avgifter,You're receiving this email because you are paying for this customer's subscriptions and charges,
sub_scheduled_changes.changes_scheduled_on.next_renewal,Endringer skjer ved neste fornyelse,Changes take place on next renewal,
sub_scheduled_changes.changes_scheduled_on.description,Endringer skjer på %{scheduled_at},Changes take place on %{scheduled_at},
sub_details_card.metered_item.units,Enheter,Units,
discount_details_field.duration.one_time,engangs-,one-time,
download_attachments_note.message,Du kan laste ned og se detaljene her. Denne lenken vil utløpe om 7 dager,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,Du mottar denne e-posten fordi du er forelder til denne kunden,You are receiving this email as you are the parent of this customer.,
discount_details_field.description.off_item,%{value} avslag på %{target},%{value} off %{target},
account_hierarchy.child_email.forwarded.note,Fakturabetalinger håndteres av din overordnede konto,Invoice payments are handled by your parent account.,
sub_next_estimate_summary.taxes.incl_disclaimer,inkludert skatter %{tax_total},inclusive of taxes %{tax_total},
invoice_details_card.download_link.text,Last ned og vis alle fakturaer,Download and view all invoices,
sub_details_card.metered_item.footnote,Mengden kan variere basert på bruk i løpet av faktureringsperioden,Quantity may vary based on usage during the billing period.,
sub_next_estimate_summary.taxes.description,Skatter,Taxes,
discount_details_field.description.off_invoice_total,%{value} avslag på fakturaens totale sum,%{value} off the invoice total,
invoice_details_card.download_link.warning_msg,Denne lenken vil utløpe om 7 dager,This link will expire in 7 days.,
sub_next_estimate_summary.discounts.description,Rabatter,Discounts,
card_offline_pm.instruction.text,Vennligst sørg for at du er klar med nøyaktig beløp ved ankomst av vår servicemedarbeider,Please make sure you are ready with the exact amount upon the arrival of our service agent.,
discount_details_field.duration.limited_period.apply_till,inntil %{apply_till},until %{apply_till},
sub_next_estimate_summary.charges.description,Beløp,Amount,
discount_details_field.duration.forever,for alltid,forever,
download_attachments_note.link_text,Last ned,Download,
discount_details_field.duration.limited_period.for_period,for %{period_desc},for %{period_desc},
