key,value,reference value,description
credit_note.label.credit_note,Kreditnota,Credit Note,The title credit note
credit_note.title.tax_withheld_refunds,Trukket skatt,Tax Withheld,Allocations
credit_note.footer.title.exchange_rate,Valutakurs,Exchange Rate,Exchange Rate info title
credit_note.branding.test_label,Dette er en prøvekreditnota generert av Chargebee,This is a sample credit note generated by Chargebee,Chargebee logo for the sandbox site on all invoices to indicate that it is just a sample
credit_note.label.shipped_to,Sendt til,Shipped To,Label - The customer's shipping address follows this label
credit_note.label.fractional_correction,Fraksjonell korreksjon,Fractional Correction,Fractional Correction
credit_note.label.reason_code,Årsakskode,Reason Code,Label Reason code. Why the credits were issued
credit_note.refund_transaction.text,%{amount} ble refundert den %{date},%{amount} was refunded on %{date},Amount  refunded on a date
credit_note.label.tax.inclusive,inkl,"incl. ",short form for inclusive as in tax inclusive
credit_note.label.tax.vat,MVA,VAT,VAT
credit_note.title.allocations,Tildelinger,Allocations,Allocations
credit_note.label.refunds,Refusjoner,Refunds,Refunds - label indicating when a part or full invoice amount is given back
credit_note.label.due,Tilgjengelig beløp,Amount Available,Label to indicate the amount available for the customer to apply credits in the future
credit_note.label.amount,Beløp,Amount,Label amount
credit_note.applied_transaction.text,%{amount} ble tildelt for faktura '%{invoice_number}' den %{date},%{amount} was allocated for invoice '%{invoice_number}' at %{date}.,Amount was allocated for invoice #123 at date.
credit_note.label.customer_id,Kunde ID,Customer ID,Label customer id
credit_note.applied_credit_with_invoice_date.text,%{amount} kreditt tildelt den %{date} for faktura '%{invoice_number}' (utstedt %{invoice_date}),%{amount} credit allocated on %{date} for invoice '%{invoice_number}' (issued %{invoice_date}).,Amount allocated on date for invoice #123 (issued date).
credit_note.label.tax.exclusive_of_vat,ekskl. MVA,excl. VAT,VAT Exclusive - exclusive of taxes
credit_note.header.label.description,Beskrivelse,Description,The table heading under which the product description comes
credit_note.label.id,ID,ID,Id - the credit note id
credit_note.label.subscription,Abonnement,Subscription,The label subscription - All the subscription details follow the label
credit_note.header.label.units,Enheter,Units,The table heading under which the product count is displayed. The number of units sold/returned/replaceed
credit_note.footer.exchange_rate.desc,Beløp konverteres til %{local_currency_display_name} ved bruk av valutakursen: 1 %{local_currency_code} = %{exchange_rate_value} %{document_currency_code},Amounts are converted into %{local_currency_display_name} using the exchange rate: 1 %{local_currency_code} = %{exchange_rate_value} %{document_currency_code},exchange rate description
credit_note.applied_transaction_with_invoice_date.text,%{amount} tildelt den %{date} for faktura '%{invoice_number}' (utstedt %{invoice_date}),%{amount} allocated on %{date} for invoice '%{invoice_number}' (issued %{invoice_date}).,Amount allocated on date for invoice #123 (issued date).
credit_note.title.refunds,Refusjoner,Refunds,Refunds
credit_note.label.sub_total,Delsum,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.title.refunds_and_allocations,Refusjoner & Tildelinger,Refunds & Allocations," Refunds and Allocations"
credit_note.header.label.unit_price,Enhetspris,Unit Price,The table heading under which the cost of the product per unit is displayed
credit_note.label.date,Dato,Date,Label date
credit_note.label.tax.exclusive,ekskl,"excl. ",short form for exclusive as in tax exclusive
credit_note.header.label.price,Pris,Price,The table heading under which the cost of the product is displayed
credit_note.label.total,Totalt,Total,Total - label the net amount of the invoice/credit note
credit_note.label.round_off,Avrunde,Round Off,Indicates that all numbers have been rounded off to a whole number
credit_note.refund_tax_withheld_with_invoice_date.text,Skattebeløpet på %{amount} som ble holdt tilbake ble refundert den %{date} via %{payment_type} for faktura '%{invoice_number}' (utstedt %{invoice_date}),%{amount} tax amount withheld was refunded on %{date} by %{payment_type} for invoice '%{invoice_number}' (issued %{invoice_date}).,Tax Amount Withheld  refunded on a date
credit_note.label.ref_invoice,Vedrørende faktura,Ref Invoice,testing
credit_note.label.tax.inclusive_of_vat,inkl. MVA,incl. VAT,VAT Inclusive -  inclusive of all taxes
credit_note.label.billed_to,Fakturert til,Billed To,Label - The customer's billing address follows this label
credit_note.label.allocations,Tildelinger,Allocations,Credit note label indicating the allocations
credit_note.refund_transaction_with_invoice_date.text,%{amount} refundert %{payment_method} den %{date} for faktura '%{invoice_number}' (utstedt %{invoice_date}),%{amount} refunded %{payment_method} on %{date} for invoice '%{invoice_number}' (issued %{invoice_date}).,Amount  refunded on a date
credit_note.refund_tax_withheld.text,Skattebeløpet på %{amount} som ble holdt tilbake ble refundert den %{date},%{amount} tax amount withheld was refunded on %{date},Tax Amount Withheld  refunded on a date
credit_note.header.label.amount,Beløp,Amount,Amount label
credit_note.header.label.sub_total,Delsum,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.label.tax.tax,Skatt,Tax,Tax
credit_note.header.label.discounts,Rabatt,Discount,Label that lists the discounts issued
