key,value,reference value,description
ramps.create_ramp_conflict_on_remove_coupons,Kan ikke opprette rampen: de spesifiserte kupongene i `{0}` blir ikke funnet i abonnementet fra `effective_from` tiden,Unable to create the ramp: the specified coupons in `{0}` is not found in the subscription as of the `effective_from` time.,Ramp creation error message due to conflict with coupons to remove.
ramps.cannot_delete_executed_ramps,Utførte ramper kan ikke slettes,Executed ramps cannot be deleted.,Ramp error message when user tries to delete executed ramps.
ramps.delete_ramp_conflict_add_with_remove_discounts,Ramp `effective_from` `{0}` kan ikke slettes siden `discounts_to_add.id`: `{1}` er satt for fjerning i en påfølgende ramp `effective_from` `{2}`,Ramp `effective_from` `{0}` cannot be deleted since `discounts_to_add.id`: `{1}` is set for removal in a subsequent ramp `effective_from` `{2}`.,Ramp deletion conflict error message with future discounts to remove.
ramps.create_ramp_conflict_on_add_items,Kan ikke opprette rampen: den angitte vareprisen i `{0}`:`{1}` er allerede til stede i abonnementet fra `effective_from` tiden,Unable to create the ramp: the specified item price in `{0}`:`{1}` is already present in the subscription as of the `effective_from` time.,Ramp creation error message due to conflict with items to add.
ramps.ramp_invalid_plan_change_request,Et abonnement må inkludere en `item_price` av `type` `plan`. Du kan ikke fjerne en plan med `items_to_remove` uten å legge til en annen plan med `items_to_add`,A subscription must include an `item_price` of `type` `plan`. You cannot remove a plan with `items_to_remove` without adding another plan with `items_to_add`.,Ramp error message when user tries to create new ramp with invalid plan change request.
ramps.ramp_limit_exhausted,Kan ikke opprette rampe. Et abonnement kan ha maksimalt {0} ikke-slettede ramper med en `planlagt` `status`. Fjern eksisterende planlagte ramper for å lage nye,Cannot create ramp. A subscription can have a maximum of {0} non-deleted ramps with a `scheduled` `status`. Remove existing scheduled ramps to create new ones.,Ramp limit exhausted error message.
ramps.api_restricted_since_subscription_has_ramps,Denne API-operasjonen er ikke tillatt siden abonnementet har kommende prisramper,This API operation is not allowed since the Subscription has upcoming Pricing Ramps.,Ramp error message when API operation is restricted if subscription has ramps.
ramps.delete_ramp_conflict_add_with_remove_coupons,Ramp `effective_from` `{0}` kan ikke slettes siden `coupons_to_add.coupon_id:` `{1}` er satt for fjerning i en påfølgende ramp `effective_from` `{2}`,Ramp `effective_from` `{0}` cannot be deleted since `coupons_to_add.coupon_id:` `{1}` is set for removal in a subsequent ramp `effective_from` `{2}`.,Ramp deletion conflict error message with future coupons to remove.
ramps.delete_ramp_conflict_add_with_item_tiers,Ramp `effective_from` `{0}` kan ikke slettes siden `items_to_add.item_price_id`: `{1}` er inkludert i `item_tiers` av en påfølgende ramp `effective_from` `{2}`,Ramp `effective_from` `{0}` cannot be deleted since `items_to_add.item_price_id`: `{1}` is included in `item_tiers` of a subsequent ramp `effective_from` `{2}`.,Ramp deletion conflict error message with future item tiers.
ramps.remove_coupons_ramp_conflict,Kan ikke fjerne kupong: `{0}` da den er satt til å bli fjernet i en fremtidig rampe datert `{1}`,Cannot remove coupon: `{0}` as it is set for removal in a future ramp dated `{1}`.,Ramp error message when user tries to remove coupon which is already scheduled to remove in future ramps.
ramps.delete_ramp_conflict_add_with_update_items,Ramp `effective_from` `{0}` kan ikke slettes siden `items_to_add.item_price_id`: `{1}` er satt for en oppdatering i en påfølgende ramp `effective_from` `{2}`,Ramp `effective_from` `{0}` cannot be deleted since `items_to_add.item_price_id`: `{1}` is set for an update in a subsequent ramp `effective_from` `{2}`.,Ramp deletion conflict error message with future items to update.
