key,value,reference value,description
sub_start_outside_plan_term,Startdato for abonnementet kan ikke være før faktureringsperioden,Subscription start date cannot be before the billing period.,Subscription start date cannot be before the billing period.
subscriptions.changes_scheduled_at_should_not_be_sent_with_ramps,`changes_scheduled_at` parameteren er ikke tilgjengelig når Price Ramps funksjonen er aktivert. Bruk Create Ramps endepunktet for å planlegge abonnementsendringer,The `changes_scheduled_at` parameter is not available when the Price Ramps feature is enabled. Use the Create Ramps endpoint for scheduling subscription changes.,The `changes_scheduled_at` parameter is not available when the Price Ramps feature is enabled. Use the Create Ramps endpoint for scheduling subscription changes.
old_operation_failed,{0},{0},{0}
subscription.invalid_scheduled_date,kan ikke være etter avbestillingsdato ({0}),cannot be after cancelled_at date ({0}).,cannot be after cancelled_at date ({0}).
line_discount_load_err,Problem med rabatter. Vennligst kontakt kundestøtte for ytterligere detaljer,Problem with discounts. Please contact support for further details.,Problem with discounts. Please contact support for further details.
trial_end_before_start_date,Prøveperiodens slutt kan ikke være før startdatoen,Trial end cannot be before start date,Trial end cannot be before start date
scheduled_for_cancellation,Abonnementet kan ikke oppdateres da det er planlagt for avbestilling ved slutten av gjeldende periode,Subscription cannot be updated as it is scheduled for cancellation at end of current term,Subscription cannot be updated as it is scheduled for cancellation at end of current term
invalid_state_for_update,Abonnement kan kun oppdateres i prøve- og aktive tilstander,Subscription can be updated only in Trial & Active states,Subscription can be updated only in Trial & Active states
pause-subscription.cancel_end_of_term_not_supported,Kan ikke planlegge avbestilling hvis abonnementet er pauset eller planlagt å pause,Cannot schedule cancellation if subscription is paused or scheduled to pause.,Cannot schedule cancellation if subscription is paused or scheduled to pause.
non_compliant_eu_customer,Operasjonen mislyktes fordi EU-landet som kunden har oppgitt i fakturaadressen ikke kan bekreftes mot IP-adressen eller kortets bin-nummer,Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.,Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.
resume-subscription.no_payment_method_for_resumption,Kan ikke gjenoppta abonnementet da du ikke har en aktiv betalingsmetode,Cannot resume subscription as you do not have an active payment method.,Cannot resume subscription as you do not have an active payment method.
no_creditcard_for_create,Kan ikke opprette abonnementet da det ikke er noe gyldig kort på fil,Cannot create the subscription as there is no valid card on file,Cannot create the subscription as there is no valid card on file
invalid_state_for_collect,Denne operasjonen støttes kun for fakturaer i betaling_forfaller/ikke_betalt status,This operation is supported only for the invoices in payment_due/not_paid status,This operation is supported only for the invoices in payment_due/not_paid status
resume-subscription.invalid_resume_date,kan ikke være på eller før pause_dato ({0}),cannot be on or before pause_date ({0}).,cannot be on or before pause_date ({0}).
charge_item_not_supported_eot,Kostnadselement kan ikke legges til et abonnement som endres ved utløpet av perioden,Charge item cannot be added to a subscription changing at end of term.,Charge item cannot be added to a subscription changing at end of term.
charge_item_not_supported,"Kostnadselement kan ikke legges til nå, da fakturaen ikke utstedes umiddelbart",Charge item cannot be added now as invoice is not raised immediately.,Charge item cannot be added now as invoice is not raised immediately.
date_outside_plan_term,{0} må være innenfor faktureringsperioden,{0} must be within the billing period,{0} must be within the billing period
no_creditcard_for_charge,Ladeoperasjonen mislyktes fordi det ikke er noe gyldig kort på fil,Charge operation failed as there is no valid card on file,Charge operation failed as there is no valid card on file
self_site_change_sub_feature_error,Kan ikke endre abonnement fordi dette abonnementet har funksjoner aktivert som ikke er tilgjengelige i den nye planen,Cannot change subscription because this subscription has features enabled that are unavailable in the new plan,Cannot change subscription because this subscription has features enabled that are unavailable in the new plan
non_compliant_customer,Operasjonen mislyktes fordi landet som er oppgitt i fakturaadressen av kunden ikke kan bekreftes mot IP-adressen eller kortets bin-nummer,Operation failed as the country entered in billing address by customer cannot be verified against ip address or card bin number.,Operation failed as the country entered in billing address by customer cannot be verified against ip address or card bin number.
param_must_be_future_date,må være en fremtidig dato,must be a future date.,The parameter value must be a future date.
three_d_secure_needed,Operasjonen støttes ikke da 3D sikkerhetsverifisering er nødvendig for dette kortet,Operation not supported as 3D secure verification is needed for this card,Operation not supported as 3D secure verification is needed for this card
update_card_error,Problem under oppdatering av betalingsmetode. Feilmelding: {0}.,Problem while updating the payment method. Error message : {0},Problem while updating the payment method. Error message : {0}
subscription.param_should_not_be_sent,Denne parameteren bør ikke sendes siden Auto Collection er PÅ for denne kunden,This param should not be sent since Auto Collection is ON for this customer.,The parameter should not be sent.
invalid_card_number,Ugyldig kortnummer,Invalid card number.,Invalid card number.
resume-subscription.payment_failure_during_resumption,Kan ikke gjenoppta abonnementet da vi ikke klarer å behandle betalingen på {0} fra din betalingsmetode,Cannot resume subscription as we are unable to process payment of {0} from your payment method.,Cannot resume subscription as we are unable to process payment of {0} from your payment method.
prepaid_card_error,{0},{0},{0}
payment_error_during_update,Abonnementet kan ikke oppdateres da vi ikke klarer å trekke {0} fra kortet ditt. Feilmelding: {1},Subscription cannot be updated as we are not able to collect {0} from your card on file. Error message: {1},Subscription cannot be updated as we are not able to collect {0} from your card on file. Error message: {1}
no_creditcard_for_update,Kan ikke endre abonnementet da det ikke er noe gyldig kort på fil,Cannot change the subscription as there is no valid card on file,Cannot change the subscription as there is no valid card on file
hp_non_compliant_customer,"Beklager, vi kunne ikke behandle denne transaksjonen fordi vi ikke kunne bekrefte din plassering. Vennligst bruk et kredittkort utstedt fra samme land som oppgitt i faktureringsinformasjonen","Sorry, we were unable to process this transaction because we could not verify your location. Please use a credit card issued from the same country as provided in the billing information.","Sorry, we were unable to process this transaction because we could not verify your location. Please use a credit card issued from the same country as provided in the billing information."
tmp_tok_card_not_supported,Kortparametere bør ikke sendes med {0},Card params should not be passed with {0},Card params should not be passed with {0}
required_input_for_status,kan ikke være tom for {0} abonnement,cannot be blank for {0} subscription,cannot be blank for {0} subscription
direct_debit_require_field_validation,{0} er obligatorisk å bruke {1} Direkte Debet via {2},{0} is mandatory to use {1} Direct Debit via {2},{0} is mandatory to use {1} Direct Debit via {2}
addon_not_applicable,{0},{0},Plan billing period and addon billing period are incompatible
card_already_exists,{0},{0},{0}
no_charge_item_present,Minst ett ikke-gjentakende tillegg eller kostnadspost bør være til stede,Atleast one non recurring addon or charge item should be present,Atleast one non recurring addon or charge item should be present
tmp_token_not_supported,Midlertidig korttoken-tilnærming støttes ikke for denne gatewayen,Card temporary token approach not supported for this gateway,Card temporary token approach not supported for this gateway
error_during_voucher_create,Kupong kan ikke opprettes for å samle inn {0} fra kunden. Feilmelding: {1}.,Voucher cannot be created to collect {0} from customer. Error message: {1},Voucher cannot be created to collect {0} from customer. Error message: {1}
invalid_state_for_cancel,Kan ikke avbryte et abonnement som allerede er avbrutt eller utløpt,Cannot cancel a subscription that is Cancelled or Expired already,Cannot cancel a subscription that is Cancelled or Expired already
charge_failed,Innkreving av betaling mislyktes. Grunn: {0}.,Payment collection failed. Reason: {0},Payment collection failed. Reason: {0}
subscriptions.end_of_term_should_not_be_sent_with_ramps,`end_of_term`-parameteren er ikke tilgjengelig når Price Ramps-funksjonen er aktivert. Bruk Create Ramps-endepunktet for å planlegge endringer i abonnementet,The `end_of_term` parameter is not available when the Price Ramps feature is enabled. Use the Create Ramps endpoint for scheduling subscription changes.,The `end_of_term` parameter is not available when the Price Ramps feature is enabled. Use the Create Ramps endpoint for scheduling subscription changes.
invalid_term_end_date,Datoen skal ikke være før i dag,The date should not be prior to today,The date should not be prior to today
no_scheduled_changes,Ingen endringer er planlagt for dette abonnementet,No changes are scheduled for this subscription.,No changes scheduled for the subscription on next renewal
self_site_change_sub_error,Kan ikke endre abonnementet til den angitte planen ettersom total nettoinntekt overstiger det frie terskelbeløpet,Cannot change the subscription to specified plan as total net revenue crosses the free threshold amount,Cannot change the subscription to specified plan as total net revenue crosses the free threshold amount
quantity_not_allowed,Kan ikke sende abonnementsmengde som planen - {0} tillater ikke mengde,Cannot pass subscription quantity as the plan - {0} does not allow quantity.,Cannot pass subscription quantity as the plan - {0} does not allow quantity.
self_site_coupon_error,En spesiell kupong er allerede brukt for dette abonnementet,A special coupon has already been applied for this subscription.,A special coupon has already been applied for this subscription.
not_scheduled_for_cancellation,Operasjonen mislyktes fordi abonnementet ikke er planlagt for avbestilling,Operation failed as subscription is not scheduled for cancellation.,Operation failed as subscription is not scheduled for cancellation.
hp_card_err,{0},{0},{0}
reactivate_not_supported,Reaktivering av operasjon støttes ikke da overgang til prøveperiode fra ikke-fornybar tilstand ikke er mulig,Reactivate operation not supported as transition to trial from non-renewing state is not possible,Reactivate operation not supported as transition to trial from non-renewing state is not possible
invalid_state_for_reactivate,Abonnementet må enten være Avbrutt eller Ikke fornyet for å reaktivere,Subscription must be either Cancelled or Non Renewing to reactivate,Subscription must be either Cancelled or Non Renewing to reactivate
update_operation_failed,{0},{0},{0}
change_term_end_not_supported,Denne operasjonen støttes kun for abonnementer som er i prøveperioden/aktive/ikke-fornyende,This operation is supported only for in_trial/active/non_renewing subscriptions,This operation is supported only for in_trial/active/non_renewing subscriptions
invalid_input_for_status,{0} bør ikke overføres for {1} abonnement,{0} should not be passed for {1} subscription,{0} should not be passed for {1} subscription
subscriptions.only_immediate_changes_allowed_with_ramps,`change_option`-parameteren kan ikke settes til `specific_date` eller `end_of_term` når funksjonen Price Ramps er aktivert. Bruk Create Ramps-endepunktet for å planlegge endringer i abonnementet,The `change_option` parameter cannot be set to `specific_date` or `end_of_term` when the Price Ramps feature is enabled. Use the Create Ramps endpoint for scheduling subscription changes.,The `change_option` parameter cannot be set to `specific_date` or `end_of_term` when the Price Ramps feature is enabled. Use the Create Ramps endpoint for scheduling subscription changes.
invalid_payment_method,Ugyldig betalingsmetode,Invalid payment method,Invalid payment method
