key,value,reference value,description
portal.action.notice.portal_login,Du har allerede satt opp din kundekonto ved hjelp av denne e-postadressen. Vennligst logg inn her,You've already setup your customer portal account using this email address. Please login here.,You've already setup your customer portal account using this email address. Please login here.
portal.action.success.email_not_verified_login,Du har ikke bekreftet e-posten din. En annen bekreftelses e-post har blitt sendt til kontoen din. Du må bekrefte e-post ID-en din for å logge inn,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.
portal.action.success.not_completed_signup,Du har ikke fullført registreringen din ennå. Vi har sendt registreringslenken til e-posten din på nytt,You haven't completed your sign up yet. We've resent the sign up link to your email.,You haven't completed your sign up yet. We've resent the sign up link to your email.
portal.action.success.change_password,Passordet ditt har blitt endret vellykket,Your password has been changed successfully.,Your password has been changed successfully.
portal.action.success.verified_account,Du har vellykket bekreftet kontoen din. Logg inn her,You have successfully verified your account. Login here.,You have successfully verified your account. Login here.
portal.action.success.subscription_cancelled,Din abonnement er vellykket avbrutt,Successfully canceled your subscription.,Successfully canceled your subscription.
portal.action.success.payment_method_removed,%{payment_method} slettet,%{payment_method} deleted.,Deleting a payment method. eg: Visa (...4444) deleted.
portal.action.error.password_expired,Passordet ditt har utløpt. Vennligst endre det her,Your password has expired. Please change it here.,Your password has expired. Please change it here.
portal.action.success.reset_password,Suksess: Passordet ditt har blitt tilbakestilt! Logg inn her,Success: Your password has been reset! Login here.,Success: Your password has been reset! Login here.
portal.action.success.payment_src_marked_backup,%{payment_method} merket som sikkerhetskopieringsbetalingsmetode,%{payment_method} marked as Backup payment method.,after associating a tag to the payment method as Backup. eg: Visa (...4444) marked as Backup payment method.
portal.action.success.not_signed_up,Du har ikke registrert deg ennå. Vi har sendt registreringslenken til e-posten din,You haven't signed up yet. We've sent the sign up link to your email.,You haven't signed up yet. We've sent the sign up link to your email.
portal.action.success.payment_src_removed_backup,Fjernet merkingen %{payment_method} som sikkerhetsbetalingsmetode,Unmarked %{payment_method} as Backup payment method.,after removing the tag to the payment method as Backup. eg: Unmarked Visa (...4444) as Backup payment method.
portal.action.success.payment_src_updated,Opplysningene for %{payment_method} er blitt oppdatert,%{payment_method} details have been updated.,after the card details have been updated. eg: Visa (...4444) details have been updated.
portal.action.error.maximum_number_exceeded,Du har overskredet maksimalt antall forsøk på å verifisere denne bankkontoen,You have exceeded the maximum number of attempts to verify this bank account,You have exceeded the maximum number of attempts to verify this bank account
portal.action.success.forgot_password,Du vil motta instruksjonene for å tilbakestille passordet hvis du har abonnert ved hjelp av denne e-post ID-en,You will receive the password reset instructions if you have subscribed using this email ID.,You will receive the password reset instructions if you have subscribed using this email ID.
portal.action.error.url_expired_invalid,URL-en ser ut til å være enten utløpt eller ugyldig. Vennligst skriv inn e-postadressen din for å be om en annen lenke,The URL appears to be either expired or invalid. Please enter your email address to request another link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.
portal.action.success.payment_src_added,%{payment_method} lagt til som betalingsmetode,%{payment_method} added as a payment method," after the card details have been added. eg: Visa (...4444) added as a payment method."
portal.action.success.shipping_address_update,Din leveringsadresse er oppdatert,Successfully updated your shipping address details.,Successfully updated your shipping address details.
portal.action.success.billing_address_update,Din fakturaadresse er oppdatert,Successfully updated your billing address details.,Successfully updated your billing address details.
portal.action.success.subscription_cancelled_removed_card,Ditt abonnement er vellykket avsluttet og ditt kredittkort er fjernet,Successfully canceled your subscription and your credit card removed.,Successfully canceled your subscription and your credit card removed.
portal.action.notice.email_not_verified,Du har allerede satt opp kundeportalen din. En bekreftelses-e-post er sendt. Vennligst bekreft e-postadressen din og prøv å logge inn,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.
portal.action.success.payment_src_marked_primary,%{payment_method} merket som primær betalingsmetode,%{payment_method} marked as Primary payment method.,after associating a tag to the payment method as Primary. eg: Visa (...4444) marked as Primary payment method.
portal.action.success.subscription_change,Abonnementet ditt er oppdatert,Successfully updated your subscription.,Successfully updated your subscription.
portal.action.success.account_update,Oppdateringen av kontodetaljene dine var vellykket,Successfully updated your account details.,Successfully updated your account details.
portal.action.notice.complete_setup,Vi har sendt en e-post med instruksjoner for å fullføre registreringen din,We've sent an email with instructions to complete your sign up.,We've sent an email with instructions to complete your sign up.
portal.action.success.bank_account_verified,Bankkontoen er vellykket verifisert,The bank account is successfully verified.,The bank account is successfully verified.
